City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,alcantara,-2.4089,-44.4147,27.11,91,100,2.07,BR,1715303016
166,igarka,67.4667,86.5833,-0.55,99,83,5.81,RU,1715303016
167,williams lake,52.1415,-122.1445,21.76,24,75,1.03,CA,1715303016
168,vilyuysk,63.7553,121.6247,-3.89,83,100,3.13,RU,1715303017
169,puerto ayora,-0.7393,-90.3518,23.08,99,42,4.07,EC,1715303017
170,minas de marcona,-15.2119,-75.1103,13.53,83,80,6.06,PE,1715303017
171,cabo san lucas,22.8909,-109.9124,29.23,57,0,4.02,MX,1715302799
172,palmas,-10.2128,-48.3603,26.93,74,0,2.06,BR,1715303017
173,tsiombe,-25.3,45.4833,19.78,80,0,2.08,MG,1715303017
174,ugoofaaru,5.6667,73.0,29.58,75,100,6.05,MV,1715303018
175,kill devil hills,36.0307,-75.676,25.01,65,0,3.6,US,1715303018
176,kyshtovka,56.555,76.6271,15.75,59,3,4.02,RU,1715303018
177,erenhot,43.6475,111.9767,12.84,59,100,11.4,CN,1715303018
178,la mohammedia,36.6745,10.1563,15.61,92,7,2.89,TN,1715303018
179,chengam,12.3,78.8,26.9,82,100,1.76,IN,1715303019
180,eyl,7.9803,49.8164,28.29,82,69,2.07,SO,1715303019
181,flying fish cove,-10.4217,105.6791,26.82,83,75,6.17,CX,1715303019
182,sitka,57.0531,-135.33,10.94,82,100,10.8,US,1715302979
183,graham,47.0529,-122.2943,25.31,45,0,6.17,US,1715303019
184,vorgashor,67.5833,63.95,-2.33,74,100,8.75,RU,1715303019
185,viedma,-40.8135,-62.9967,9.29,40,23,4.28,AR,1715302824
186,hampton bays,40.869,-72.5176,15.21,78,75,5.81,US,1715303020
187,bubaque,11.2833,-15.8333,26.59,78,100,1.01,GW,1715303020
188,kone,-21.0595,164.8658,27.0,43,12,4.55,NC,1715303020
189,hithadhoo,-0.6,73.0833,29.06,76,11,4.27,MV,1715303020
190,freetown,8.484,-13.2299,23.84,94,75,2.57,SL,1715302814
191,horta,38.5333,-28.6333,17.23,91,42,3.58,PT,1715303021
192,stephenville,32.2207,-98.2023,20.1,82,40,4.12,US,1715303021
193,vidyayevo,69.3191,32.8049,-2.86,88,100,3.27,RU,1715303021
194,parbhani,19.2667,76.7833,31.23,43,97,1.13,IN,1715303021
195,keflavik,64.0049,-22.5624,6.24,75,0,3.6,IS,1715302882
196,genoa,44.4129,8.9573,17.4,72,0,0.89,IT,1715302835
197,yuzhno-kurilsk,44.0306,145.8556,6.88,78,99,2.56,RU,1715303022
198,bir el ater,34.7449,8.0602,11.18,71,0,5.41,DZ,1715303022
199,poinciana,28.1403,-81.4584,31.23,66,0,3.09,US,1715303022
200,taroa,8.7058,171.2275,27.74,84,99,7.92,MH,1715303022
201,caburan,5.9181,125.6411,28.01,72,50,4.47,PH,1715303022
202,magadan,59.5667,150.8,3.63,82,42,1.46,RU,1715303022
203,ketchikan,55.3422,-131.6461,11.86,87,75,3.6,US,1715303023
204,golere,16.2557,-14.1017,34.8,14,11,3.48,SN,1715303023
205,lewistown,40.5992,-77.5714,13.44,100,100,3.09,US,1715303023
206,gmunden,47.9189,13.7975,7.93,87,0,1.46,AT,1715303023
207,la passe,45.5549,-0.8967,14.13,91,0,4.76,FR,1715303024
208,zelenoborskiy,66.845,32.3622,-4.06,87,8,2.32,RU,1715303024
209,port augusta,-32.5,137.7667,19.69,37,0,4.25,AU,1715303024
210,bat khela,34.6167,71.9714,24.89,46,100,2.92,PK,1715303024
211,rongelap,11.1635,166.8941,27.23,82,40,7.99,MH,1715303024
212,kamyaran,34.7956,46.9355,9.86,65,0,0.89,IR,1715303025
213,severo-yeniseyskiy,60.3725,93.0408,2.54,89,100,1.79,RU,1715303025
214,telsiai,55.9814,22.2472,7.41,93,100,4.67,LT,1715303025
215,alexandria,31.2156,29.9553,19.3,53,100,5.74,EG,1715302804
216,motueka,-41.1333,173.0167,11.17,43,0,1.57,NZ,1715303025
217,crane,31.3974,-102.3501,30.81,14,3,3.49,US,1715303025
218,christchurch,-43.5333,172.6333,15.3,42,75,5.66,NZ,1715302682
219,tazovsky,67.4667,78.7,-2.55,89,97,7.54,RU,1715303026
220,socorro,31.6546,-106.3033,30.57,7,20,7.72,US,1715303026
221,san patricio,28.017,-97.5169,30.86,79,0,5.36,US,1715303026
222,klyuchi,52.2667,79.1667,18.41,45,100,4.98,RU,1715303026
223,olyokminsk,60.3736,120.4264,3.62,54,99,2.0,RU,1715303026
224,kailua-kona,19.6406,-155.9956,28.98,76,40,5.14,US,1715302881
225,lebu,-37.6167,-73.65,8.81,86,0,2.0,CL,1715303027
226,puerto santa,-8.9906,-78.6456,19.22,89,100,4.56,PE,1715303027
227,ust'-kulom,61.6864,53.6902,-2.54,91,100,3.42,RU,1715303027
228,vila franca do campo,37.7167,-25.4333,18.27,99,18,1.53,PT,1715303027
229,greystones,53.1408,-6.0631,13.62,82,100,0.83,IE,1715303028
230,udachny,66.4167,112.4,-9.2,94,100,5.22,RU,1715303028
231,williamson,30.6502,-97.6003,30.91,78,75,2.06,US,1715303028
232,masjed soleyman,31.9364,49.3039,23.17,32,0,1.0,IR,1715303028
233,cuatro cienegas de carranza,26.9833,-102.0833,34.76,8,3,1.85,MX,1715303028
234,tofol,5.3248,163.0078,29.88,74,75,5.14,FM,1715303028
235,zmiyevka,52.6697,36.3739,0.03,62,83,3.22,RU,1715303029
236,loango,-4.6719,11.8312,25.81,100,40,0.0,CG,1715303029
237,dengzhou,37.8086,120.7508,20.06,45,72,8.21,CN,1715303029
238,nadi,-17.8,177.4167,27.0,50,40,5.14,FJ,1715303030
239,bandarbeyla,9.4942,50.8122,28.31,79,98,2.93,SO,1715303030
240,barkly west,-28.5354,24.5215,19.6,34,21,5.74,ZA,1715303030
241,chonchi,-42.6128,-73.8092,6.18,95,16,1.2,CL,1715303030
242,monte patria,-30.6919,-70.9467,13.01,64,98,0.99,CL,1715303030
243,hirara,24.8,125.2833,24.92,60,75,2.57,JP,1715303030
244,pereval's'k,48.4378,38.8438,1.94,50,7,0.76,UA,1715303031
245,hasaki,35.7333,140.8333,20.16,35,0,4.25,JP,1715303031
246,lompoc,34.6391,-120.4579,23.08,65,0,4.63,US,1715302805
247,papao,-17.75,-149.55,29.82,69,5,4.36,PF,1715303031
248,aasiaat,68.7098,-52.8699,-11.14,91,80,1.69,GL,1715303031
249,boise,43.6135,-116.2035,23.05,40,7,2.91,US,1715302810
250,axim,4.8699,-2.2405,27.74,84,100,2.88,GH,1715303032
251,kurumkan,54.3,110.3,5.63,74,100,4.47,RU,1715303032
252,ntungamo,-0.8833,29.65,18.33,97,92,1.41,UG,1715303032
253,stanley,54.868,-1.6985,11.01,90,0,2.06,GB,1715303032
254,hammerfest,70.6634,23.6821,1.25,86,100,3.09,NO,1715303032
255,port alfred,-33.5906,26.891,17.43,90,42,0.68,ZA,1715303033
256,nouadhibou,20.931,-17.0347,18.99,88,20,7.2,MR,1715303033
257,brandon,27.9378,-82.2859,28.36,84,0,3.09,US,1715303033
258,nyandoma,61.669,40.1991,-3.94,92,100,5.98,RU,1715303033
259,decatur,39.8403,-88.9548,16.0,94,100,4.63,US,1715303033
260,kirakira,-10.4544,161.9205,29.65,70,92,4.33,SB,1715303033
261,estherville,43.4016,-94.8328,18.08,60,75,3.09,US,1715303034
262,trairi,-3.2778,-39.2689,26.01,88,99,2.6,BR,1715303034
263,prado,-17.3411,-39.2208,25.18,84,0,1.51,BR,1715303034
264,timbuktu,16.7735,-3.0074,32.62,8,0,3.79,ML,1715303034
265,coahuayana de hidalgo,18.7,-103.6583,24.65,72,3,1.83,MX,1715303034
266,fort bragg,35.139,-79.006,23.91,80,0,5.14,US,1715303035
267,al jawf,29.5,38.75,23.08,18,0,6.95,SA,1715303035
268,panchagarh,26.3313,88.562,25.49,56,99,4.17,BD,1715303035
269,yokadouma,3.5167,15.05,21.35,97,100,0.7,CM,1715303035
270,woolgoolga,-30.1106,153.2007,19.93,59,100,3.17,AU,1715303036
271,ust'-ilimsk,58.0006,102.6619,4.69,67,14,1.79,RU,1715303036
272,baker city,44.7749,-117.8344,21.84,35,100,3.6,US,1715302737
273,aras-asan,8.8908,126.3033,29.21,66,26,2.28,PH,1715303036
274,khilok,51.3674,110.4676,3.26,60,100,7.21,RU,1715303037
275,uacu cungo,-11.3634,15.1208,17.94,80,100,1.13,AO,1715303037
276,al khawr,25.7667,51.3167,25.11,45,3,6.39,QA,1715303037
277,buena vista,43.4203,-83.8986,12.1,66,100,4.63,US,1715303037
278,badger,64.8,-147.5333,12.95,41,75,5.14,US,1715303038
279,isangel,-19.55,169.2667,26.06,61,75,4.63,VU,1715303038
280,afaahiti,-17.75,-149.2833,28.93,74,1,4.29,PF,1715303038
281,acarau,-2.8856,-40.12,26.58,87,100,3.74,BR,1715303038
282,ponta delgada,37.7333,-25.6667,18.44,77,20,2.57,PT,1715303039
283,nemuro,43.3236,145.575,6.63,85,100,3.15,JP,1715303039
284,grand falls-windsor,48.9332,-55.6649,4.72,87,100,0.89,CA,1715303039
285,santa rosa de cabal,4.8681,-75.6214,17.79,94,75,1.03,CO,1715303039
286,qaqortoq,60.7167,-46.0333,1.52,74,100,1.06,GL,1715303039
287,tazacorte,28.629,-17.9293,20.08,79,0,6.17,ES,1715303039
288,djambala,-2.5447,14.7533,22.93,83,84,1.41,CG,1715303040
289,aripuana,-9.1667,-60.6333,23.95,72,100,0.97,BR,1715303040
290,salym,60.0625,71.4789,4.61,81,58,5.09,RU,1715303040
291,trosa,58.8962,17.5481,10.23,92,92,4.27,SE,1715303040
292,east london,-33.0153,27.9116,19.73,87,5,1.94,ZA,1715303040
293,mersa matruh,31.3525,27.2453,20.11,83,0,0.0,EG,1715303041
294,kourou,5.1552,-52.6478,25.03,94,100,3.61,GF,1715303041
295,zhanaozen,43.3,52.8,11.66,48,13,4.69,KZ,1715303041
296,lincoln city,44.9582,-124.0179,27.07,54,2,1.79,US,1715302866
297,kingston,17.997,-76.7936,29.53,74,40,6.17,JM,1715303008
298,international falls,48.6011,-93.411,16.1,27,0,1.54,US,1715303041
299,neyshabur,36.2133,58.7958,11.02,85,100,2.57,IR,1715303042
300,coquimbo,-29.9533,-71.3436,13.85,82,75,1.54,CL,1715303042
301,wotho,10.1657,166.0102,27.47,76,83,7.96,MH,1715303042
302,talpa de allende,20.3833,-104.8167,27.22,32,0,1.54,MX,1715303042
303,chibougamau,49.9168,-74.3659,9.79,46,0,1.54,CA,1715303042
304,mossel bay,-34.1831,22.146,10.96,83,0,1.5,ZA,1715303043
305,new norfolk,-42.7826,147.0587,13.84,83,98,1.08,AU,1715303043
306,port macquarie,-31.4333,152.9167,21.05,60,100,2.35,AU,1715303043
307,canutama,-6.5339,-64.3831,26.46,82,83,0.75,BR,1715303043
308,nambucca heads,-30.65,153.0,21.11,57,89,1.2,AU,1715303043
309,remire-montjoly,4.9167,-52.2667,25.02,100,100,1.03,GF,1715303044
310,bontang,0.1333,117.5,27.73,77,100,0.36,ID,1715303044
311,loch garman,52.3342,-6.4575,11.79,100,100,0.45,IE,1715303044
312,tokar,18.4254,37.729,27.23,71,40,3.96,SD,1715303044
313,i-n-salah,27.1935,2.4607,25.52,17,0,7.41,DZ,1715303045
314,kayangel,8.0823,134.7173,27.65,79,100,1.37,PW,1715303045
315,mugia,43.1041,-9.2179,13.84,75,75,2.93,ES,1715303045
316,tezu,27.9167,96.1667,24.19,52,100,1.34,IN,1715303045
317,siracusa,37.0881,15.2792,15.65,92,100,7.0,IT,1715303045
318,santiago de cao,-7.9589,-79.2392,18.07,88,20,5.66,PE,1715303046
319,thunder bay,48.4001,-89.3168,10.99,46,20,3.6,CA,1715303046
320,mansourah,31.0364,31.3807,19.0,62,25,3.67,EG,1715303046
321,gutao,37.2025,112.1781,23.49,49,60,3.42,CN,1715303046
322,kievka,50.2619,71.5514,13.88,81,70,3.5,KZ,1715303046
323,yakeshi,49.2833,120.7333,7.3,82,100,7.55,CN,1715303047
324,shindand,33.3029,62.1474,16.5,69,28,2.42,AF,1715303047
325,kolobrzeg,54.1757,15.5834,7.86,83,100,4.3,PL,1715303045
326,lida,53.8833,25.2997,6.41,94,93,3.22,BY,1715303047
327,mount gambier,-37.8333,140.7667,15.53,67,85,2.12,AU,1715303012
328,talcahuano,-36.7167,-73.1167,9.82,100,0,1.03,CL,1715303048
329,juli,-16.2167,-69.45,6.85,76,0,1.38,PE,1715303048
330,nadym,65.5333,72.5167,1.65,100,100,11.69,RU,1715303048
331,dingwall,57.5953,-4.4272,12.16,94,100,0.67,GB,1715303048
332,pangoa,-12.1167,-73.0,22.13,97,41,1.26,PE,1715303049
333,supaul,26.1167,86.6,27.02,53,44,4.4,IN,1715303049
334,aykhal,66.0,111.5,-7.78,86,100,6.6,RU,1715303049
335,shingu,33.7333,135.9833,17.99,39,0,2.04,JP,1715303049
336,nova vicosa,-17.8919,-39.3719,25.41,84,1,2.94,BR,1715303049
337,albacete,38.8333,-2.0,15.66,54,0,3.09,ES,1715303050
338,baie-comeau,49.2168,-68.1489,6.82,76,0,0.0,CA,1715303029
339,kharp,66.8014,65.8081,-3.49,94,100,9.97,RU,1715303050
340,mo i rana,66.3128,14.1428,2.96,92,63,4.63,NO,1715303050
341,antsohihy,-14.8796,47.9875,22.36,69,0,3.66,MG,1715303050
342,mao,39.8885,4.2658,12.31,100,0,1.03,ES,1715303051
343,tarawa,1.419,172.984,31.05,79,20,2.57,KI,1715303051
344,sabha,27.0377,14.4283,20.9,30,20,7.08,LY,1715303051
345,ola,59.5833,151.2833,3.97,80,43,1.92,RU,1715303051
346,amga,60.8953,131.9608,3.65,42,100,3.25,RU,1715303051
347,san andres,12.5847,-81.7006,30.01,79,20,3.6,CO,1715303043
348,sept-iles,50.2001,-66.3821,6.0,69,53,3.6,CA,1715303052
349,praia da vitoria,38.7333,-27.0667,17.14,82,20,1.77,PT,1715303052
350,lagos,6.5833,3.75,28.18,84,100,2.6,NG,1715302886
351,mahonda,-6.45,39.4667,26.64,82,19,8.14,TZ,1715303052
352,bamboo flat,11.7,92.7167,29.61,71,45,1.54,IN,1715303052
353,soalkuchi,26.1681,91.5711,23.99,94,75,1.54,IN,1715303053
354,shakhovskaya,56.0283,35.5097,-0.25,68,78,4.35,RU,1715303053
355,santa cruz del sur,20.7147,-77.9956,27.41,74,33,1.75,CU,1715303053
356,solleftea,63.1667,17.2667,3.92,67,67,5.54,SE,1715303053
357,kodiak,57.79,-152.4072,3.73,87,75,3.09,US,1715303053
358,teluk nibung,3.001,99.8164,26.09,91,100,2.39,ID,1715303054
359,el calafate,-50.3408,-72.2768,0.23,94,98,0.94,AR,1715303054
360,veraval,20.9,70.3667,27.48,81,0,4.0,IN,1715303054
361,alegrete,-29.7831,-55.7919,13.62,66,100,6.12,BR,1715303054
362,palmer,42.1584,-72.3287,16.78,57,75,4.12,US,1715303055
363,kapuskasing,49.4169,-82.4331,14.05,33,20,4.12,CA,1715303055
